STRUCT,Info,3
CPU name:,Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz,
CPU type:,Intel Icelake SP processor,
CPU clock:,2.394163749 GHz,
TABLE,Region kernel,Group 1 Raw,Custom,11
Region Info,HWThread 0,
RDTSC Runtime [s],3.659697,
call count,16,
Event,Counter,HWThread 0
Runtime (RDTSC) [s],TSC,3.659697e+00
MEM_LOAD_RETIRED_L1_ALL,PMC1,8395538000
MEM_LOAD_RETIRED_L1_HIT,PMC2,8394145000
MEM_LOAD_RETIRED_L2_ALL,PMC3,1396088
MEM_LOAD_RETIRED_L2_HIT,PMC4,0
MEM_LOAD_RETIRED_L3_ALL,PMC5,0
MEM_LOAD_RETIRED_L3_HIT,PMC6,0
INSTR_RETIRED_ANY,FIXC0,19041270000
CPU_CLK_UNHALTED_CORE,FIXC1,8747119000
CPU_CLK_UNHALTED_REF,FIXC2,8747010000
TOPDOWN_SLOTS,FIXC3,43735600000
