STRUCT,Info,3
CPU name:,Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz,
CPU type:,Intel Icelake SP processor,
CPU clock:,2.394295236 GHz,
TABLE,Region kernel,Group 1 Raw,Custom,11
Region Info,HWThread 0,
RDTSC Runtime [s],3.432754,
call count,16,
Event,Counter,HWThread 0
Runtime (RDTSC) [s],TSC,3.432754e+00
MEM_LOAD_RETIRED_L1_ALL,PMC1,3041226000
MEM_LOAD_RETIRED_L1_HIT,PMC2,2425423000
MEM_LOAD_RETIRED_L2_ALL,PMC3,615806000
MEM_LOAD_RETIRED_L2_HIT,PMC4,0
MEM_LOAD_RETIRED_L3_ALL,PMC5,0
MEM_LOAD_RETIRED_L3_HIT,PMC6,0
INSTR_RETIRED_ANY,FIXC0,10505530000
CPU_CLK_UNHALTED_CORE,FIXC1,8204593000
CPU_CLK_UNHALTED_REF,FIXC2,8204659000
TOPDOWN_SLOTS,FIXC3,41022960000
